15 15
0.996191 0.000764905 0.00304443
0.985845 0.00433566 0.00981914
0.950852 0.0213127 0.027835
0.858297 0.0799024 0.0618005
0.679724 0.218814 0.101462
0.438837 0.441181 0.119982
0.21694 0.68164 0.10142
0.0789161 0.859323 0.0617612
0.0209628 0.95122 0.0278168
0.00424658 0.98594 0.00981351
0.00074621 0.996211 0.00304285
0.000144636 0.998845 0.00101063
4.17901e-005 0.999499 0.000459252
0.999984 3.04487e-006 1.32091e-005
0.999946 1.54304e-005 3.84886e-005
0.999642 0.00015184 0.000205729
0.997183 0.00161332 0.00120413
0.981693 0.0127801 0.00552717
0.916814 0.0659288 0.017257
0.747191 0.218108 0.0347019
0.476697 0.479404 0.0438997
0.216055 0.749258 0.0346873
0.0650245 0.917729 0.0172468
0.0125461 0.98193 0.00552438
0.00157619 0.99722 0.00120371
0.000147658 0.999647 0.000205679
1.49454e-005 0.999947 3.848e-005
2.94088e-006 0.999984 1.32047e-005
1 8.13059e-008 1.12233e-007
0.999999 7.56615e-007 5.41959e-007
0.999971 2.09972e-005 7.84238e-006
0.999359 0.000529397 0.000111474
0.991738 0.00731342 0.000948606
0.943263 0.052352 0.00438501
0.781709 0.207313 0.0109772
0.491121 0.493975 0.0149046
0.205257 0.78377 0.0109723
0.0515859 0.944032 0.00438251
0.00716934 0.991882 0.000948203
0.000516151 0.999372 0.000111447
2.03605e-005 0.999972 7.84133e-006
7.30195e-007 0.999999 5.41904e-007
7.82214e-008 1 1.12217e-007
1 1.41275e-009 5.08772e-010
1 2.949e-008 5.07558e-009
0.999997 3.11481e-006 2.827e-007
0.999786 0.000202764 1.12733e-005
0.995148 0.00467349 0.00017845
0.955226 0.0435918 0.00118214
0.798933 0.197484 0.00358261
0.495966 0.498867 0.00516702
0.195471 0.800948 0.00358071
0.0429297 0.955889 0.00118136
0.00457714 0.995244 0.000178368
0.000197395 0.999791 1.12707e-005
3.01354e-006 0.999997 2.82668e-007
2.83759e-008 1 5.07518e-009
1.35478e-009 1 5.0872e-010
1 1.90101e-010 1.77638e-011
1 6.17438e-009 2.6599e-010
0.999999 1.32815e-006 3.18435e-008
0.999861 0.000136647 2.23365e-006
0.996024 0.003927 4.9453e-005
0.958919 0.0406822 0.000399173
0.804734 0.19392 0.00134588
0.497537 0.500455 0.00200788
0.191923 0.806732 0.00134484
0.0400561 0.959545 0.000398783
0.00384471 0.996106 4.94185e-005
0.000132953 0.999865 2.23284e-006
1.28382e-006 0.999999 3.18378e-008
5.93394e-009 1 2.65958e-010
1.82062e-010 1 1.77611e-011
